ID,Name,Old URL,New URL
18,"Bolt","https://drive.google.com/file/d/18NBcSJ4uEq7tnlpgk-BWlpgXwxrdfFnQ/view?usp=drivesdk","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/18NBcSJ4uEq7tnlpgk-BWlpgXwxrdfFnQ.jpg"
19,"Nuts","https://drive.google.com/file/d/1m8SQtMA_FIKoxjuFyObgRuWb4FhSoKTB/view?usp=drivesdk","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1m8SQtMA_FIKoxjuFyObgRuWb4FhSoKTB.jpg"
20,"Rivet nuts","https://drive.google.com/file/d/1quXP6qyf7RCsqVMx-whinwyOq3RbpWUP/view?usp=drivesdk","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1quXP6qyf7RCsqVMx-whinwyOq3RbpWUP.jpg"
21,"Rivets","https://drive.google.com/file/d/1pakES7s6DfgqpqAlkbfv11GwNNos611I/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1pakES7s6DfgqpqAlkbfv11GwNNos611I.jpg"
22,"Washer","https://drive.google.com/file/d/1eNKqMn_EXJC3G8ErtPRkKByt47INwcI-/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1eNKqMn_EXJC3G8ErtPRkKByt47INwcI-.jpg"
23,"Nails","https://drive.google.com/file/d/1QGB9jGWTmngr8CTIDqcPcn1vj7S1bjnm/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1QGB9jGWTmngr8CTIDqcPcn1vj7S1bjnm.jpg"
24,"Binding Barrels Screws","https://drive.google.com/file/d/1W9nME0wveK8kRNh4jcqznvXwEyfIeUiH/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1W9nME0wveK8kRNh4jcqznvXwEyfIeUiH.jpg"
25,"Tube Fittings","https://drive.google.com/file/d/14AysIFw4epWeJaZFdQ1JTU5bVblJNwwS/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/14AysIFw4epWeJaZFdQ1JTU5bVblJNwwS.jpg"
26,"Tube","https://drive.google.com/file/d/150G3yddjTTbmWXhBUorPOxzuyj4luU3v/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/150G3yddjTTbmWXhBUorPOxzuyj4luU3v.jpg"
27,"Screws","https://drive.google.com/file/d/1BRBBL8OvNWOluODbbkeRCQv2BWQA9yDJ/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1BRBBL8OvNWOluODbbkeRCQv2BWQA9yDJ.jpg"
28,"Self Drilling Screw","https://drive.google.com/file/d/1GsXZ2SpDEWdt6PpFGmJ0Cr6gA7achyEF/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1GsXZ2SpDEWdt6PpFGmJ0Cr6gA7achyEF.jpg"
29,"I Bolt","https://drive.google.com/file/d/1qyzTP9eM9QHmEP-o3mS5Xlr0ccLPRTsV/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1qyzTP9eM9QHmEP-o3mS5Xlr0ccLPRTsV.jpg"
