ID,Name,Old URL,New URL
21,"Blind Rivet","https://drive.google.com/file/d/1pakES7s6DfgqpqAlkbfv11GwNNos611I/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1pakES7s6DfgqpqAlkbfv11GwNNos611I.jpg"
22,"Hex Head Self Drilling Screw","https://drive.google.com/file/d/1GsXZ2SpDEWdt6PpFGmJ0Cr6gA7achyEF/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1GsXZ2SpDEWdt6PpFGmJ0Cr6gA7achyEF.jpg"
20,"Phillips Pan Head Screw Black","https://drive.google.com/file/d/1P6LiSh0udPs0ISsBzSiEqWZO6NRMIBqd/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1P6LiSh0udPs0ISsBzSiEqWZO6NRMIBqd.jpg"
14,"Round Body Rev Nut","https://drive.google.com/file/d/1quXP6qyf7RCsqVMx-whinwyOq3RbpWUP/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1quXP6qyf7RCsqVMx-whinwyOq3RbpWUP.jpg"
15,"Straight Fitting","https://drive.google.com/file/d/1hmS5a2oDzZiSYcl3YulGVpeMmf9MmF7x/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1hmS5a2oDzZiSYcl3YulGVpeMmf9MmF7x.jpg"
16,"T-Fitting","https://drive.google.com/file/d/1zygyrZxY-I6GdI4XUgqN9W2azICcDYi1/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1zygyrZxY-I6GdI4XUgqN9W2azICcDYi1.jpg"
19,"Split Lock Washer","https://drive.google.com/file/d/169mWY-zo0kYPzBm97cyk53oItEeQxv2E/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/169mWY-zo0kYPzBm97cyk53oItEeQxv2E.jpg"
17,"L-Fitting","https://drive.google.com/file/d/1_94UOzMOz9FVPXIGxYpHlLJiARME01v8/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1_94UOzMOz9FVPXIGxYpHlLJiARME01v8.jpg"
10,"Hex Nuts","https://drive.google.com/file/d/1rbkHZsQgRc7DVnLdV5SJeVGMW_wb100Z/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1rbkHZsQgRc7DVnLdV5SJeVGMW_wb100Z.jpg"
11,"Locknuts","https://drive.google.com/file/d/1t2QHMl7IFUoFC7qWqh4DrRU4TF48aBNC/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1t2QHMl7IFUoFC7qWqh4DrRU4TF48aBNC.jpg"
18,"Weld Nut","https://drive.google.com/file/d/1JsOIlV7GerGLG30VSCKoC4xdZt8iRpG9/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1JsOIlV7GerGLG30VSCKoC4xdZt8iRpG9.jpg"
8,"Hex Head Bolt","https://drive.google.com/file/d/1Wx3J8JWYVxlKaKxTXM17Fp56n__Vfib6/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1Wx3J8JWYVxlKaKxTXM17Fp56n__Vfib6.jpg"
12,"Flange Nuts","https://drive.google.com/file/d/1ZVZQ1FrTRcAOuxw4oUg3d12p1tvsKiWa/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1ZVZQ1FrTRcAOuxw4oUg3d12p1tvsKiWa.jpg"
23,"Black Rivets","https://drive.google.com/file/d/1lDIicBhzy4ydBFrj9vvJOumrB3mQeoXU/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1lDIicBhzy4ydBFrj9vvJOumrB3mQeoXU.jpg"
33,"Binding Barrel Screw And Bolt","https://drive.google.com/file/d/1yyxWo3HdipcswUC1famc5H5ig_wHpDCd/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1yyxWo3HdipcswUC1famc5H5ig_wHpDCd.jpg"
29,"Eye Bolt","https://drive.google.com/file/d/1qyzTP9eM9QHmEP-o3mS5Xlr0ccLPRTsV/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1qyzTP9eM9QHmEP-o3mS5Xlr0ccLPRTsV.jpg"
13,"Flat Washer","https://drive.google.com/file/d/16_68kSDHZh73HjOlDjn5iUTR0qNytFcv/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/16_68kSDHZh73HjOlDjn5iUTR0qNytFcv.jpg"
30,"Hex Nut Black","https://drive.google.com/file/d/1_2cPJcwpcYcFO0G6h-ovOBHgc5tO60Id/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1_2cPJcwpcYcFO0G6h-ovOBHgc5tO60Id.jpg"
31,"Hex Rivet Nut","https://drive.google.com/file/d/1NzxrhlxUc9A9KEBV0bBstzitXaroBDkr/view?usp=sharing","https://ik.imagekit.io/fq27eon0z/threadcart/migrated/1NzxrhlxUc9A9KEBV0bBstzitXaroBDkr.jpg"
